connection_id,Origin_node_id,Dest_node_id,Commodity_id,Fewsion_unit_type,Fewsion_unit_value,Fewsion_dollar_value,Sc_step_fmlm,date_recorded,origin_county_code,destination_county_code
222001001,210112022,210112001,1103003,1,0.0,0.0,LM,0x0000000000001131,4021,4005
222001002,210112022,210112002,1104004,1,0.0,0.0,LM,0x0000000000001132,4021,4005
222001003,210112020,210112004,1111005,1,0.0,0.0,LM,0x0000000000001133,4013,4005
222001004,210112019,210112008,1103003,1,0.0,0.0,LM,0x0000000000001134,4013,4005
222001005,210112013,210112010,1104004,1,0.0,0.0,LM,0x0000000000001135,4013,4005
222001006,210112019,210112011,1111005,1,0.0,0.0,LM,0x0000000000001136,4013,4005
222001007,210112022,210112030,1103003,1,0.0,0.0,LM,0x0000000000001137,4021,4005
222001008,210112020,210112031,1104004,1,0.0,0.0,LM,0x0000000000001138,4013,4005
222001009,210112013,210112032,1111005,1,0.0,0.0,LM,0x0000000000001139,4013,4005
222001010,210112012,210112038,1103003,1,0.0,0.0,LM,0x000000000000113A,4013,4005
222001011,210112019,210112039,1104004,1,0.0,0.0,LM,0x000000000000113B,4013,4005
222001012,210112093,210112060,1103003,1,95.5,3.12,FM,Null,4005,4005
222001013,210112092,210112080,1103003,1,95.5,12.12,FM,Null,4005,4005
222001014,210112089,210112029,1103003,1,95.5,0.91,FM,Null,4005,4015
222001015,210112029,210112020,1103003,1,78.9,1.19,FM,Null,4015,4013
