FID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,longitude,latitude
0,Lake of the Woods,Minnesota,27,077,27077,-94.903594510800005,48.771708924400002
1,Ferry,Washington,53,019,53019,-118.518303278999994,48.469484375699999
2,Stevens,Washington,53,065,53065,-117.856411578999996,48.395808646799999
3,Okanogan,Washington,53,047,53047,-119.740610321000005,48.548306857400000
4,Pend Oreille,Washington,53,051,53051,-117.275068814999997,48.532707307099997
5,Boundary,Idaho,16,021,16021,-116.471333478999995,48.764960219000002
6,Lincoln,Montana,30,053,30053,-115.409254496000003,48.538366032100001
7,Flathead,Montana,30,029,30029,-114.055677273000001,48.289549213199997
8,Glacier,Montana,30,035,30035,-113.000791135000000,48.702025579800001
9,Toole,Montana,30,101,30101,-111.701097770000004,48.653626940400002
10,Liberty,Montana,30,051,30051,-111.031009068000003,48.559579144399997
11,Hill,Montana,30,041,30041,-110.115748099000001,48.627919167100004
12,Sheridan,Montana,30,091,30091,-104.507814699999997,48.722138279500001
13,Divide,North Dakota,38,023,38023,-103.488881398000004,48.819401038999999
14,Burke,North Dakota,38,013,38013,-102.515919271000001,48.793840269400000
15,Renville,North Dakota,38,075,38075,-101.659978405000004,48.720389481399998
16,Bottineau,North Dakota,38,009,38009,-100.836292710999999,48.791467053600002
17,Rolette,North Dakota,38,079,38079,-99.845869508899995,48.771360453100002
18,Towner,North Dakota,38,095,38095,-99.246907384200000,48.687893882799997
19,Cavalier,North Dakota,38,019,38019,-98.461239658200000,48.774505760399997
20,Pembina,North Dakota,38,067,38067,-97.547073633599993,48.768552727100001
21,Kittson,Minnesota,27,069,27069,-96.783076018599999,48.775791610200002
22,Roseau,Minnesota,27,135,27135,-95.813731848600000,48.777024230999999
23,Blaine,Montana,30,005,30005,-108.964720834000005,48.434858570400003
24,Phillips,Montana,30,071,30071,-107.919586409000004,48.262467518299999
25,Valley,Montana,30,105,30105,-106.672734118999998,48.366739816900001
26,Daniels,Montana,30,019,30019,-105.550873581999994,48.787140910500000
27,Whatcom,Washington,53,073,53073,-121.703864508999999,48.823021933200003
28,Bonner,Idaho,16,017,16017,-116.600978554999998,48.293110586700003
29,Ward,North Dakota,38,101,38101,-101.540597056999999,48.224194019999999
30,Koochiching,Minnesota,27,071,27071,-93.783160808900007,48.246384164699997
31,Skagit,Washington,53,057,53057,-121.719925511000000,48.472878625100002
32,Williams,North Dakota,38,105,38105,-103.482703232000006,48.350157048200003
33,McHenry,North Dakota,38,049,38049,-100.638172464999997,48.237191779000000
34,St. Louis,Minnesota,27,137,27137,-92.469936851699998,47.606064672400002
35,San Juan,Washington,53,055,53055,-123.082447697999996,48.535986452800003
36,Roosevelt,Montana,30,085,30085,-105.025313792999995,48.297374607000002
37,Mountrail,North Dakota,38,061,38061,-102.356170245000001,48.204134528799997
38,Marshall,Minnesota,27,089,27089,-96.362359223799999,48.358067475200002
39,Ramsey,North Dakota,38,071,38071,-98.724924466499999,48.269990065800002
40,Walsh,North Dakota,38,099,38099,-97.721075971399998,48.371298039400003
41,Beltrami,Minnesota,27,007,27007,-94.939253443400005,47.975328053299997
42,Pierce,North Dakota,38,069,38069,-99.976745914999995,48.251389234999998
43,Chelan,Washington,53,007,53007,-120.615160904999996,47.865416480999997
44,Pondera,Montana,30,073,30073,-112.236503647999996,48.221955609399998
45,Clallam,Washington,53,009,53009,-123.931257591000005,48.045470947799998
46,Benson,North Dakota,38,005,38005,-99.371829860500000,48.072979326599999
47,Chouteau,Montana,30,015,30015,-110.441438891000004,47.880372108200000
48,Snohomish,Washington,53,061,53061,-121.697158196999993,48.042567480899997
49,Island,Washington,53,029,53029,-122.553950126999993,48.150394829600003
50,Sanders,Montana,30,089,30089,-115.135337458999999,47.667036790799997
51,Lake,Minnesota,27,075,27075,-91.447031831499999,47.631707111099999
52,Nelson,North Dakota,38,063,38063,-98.192840314799994,47.923921997699999
53,Grand Forks,North Dakota,38,035,38035,-97.454778838600006,47.923690597899999
54,Polk,Minnesota,27,119,27119,-96.400328102100005,47.774466720500001
55,Pennington,Minnesota,27,113,27113,-96.036005782299995,48.066007071500003
56,Douglas,Washington,53,017,53017,-119.685669712999996,47.736618748700003
57,McKenzie,North Dakota,38,053,38053,-103.401357828000002,47.744688256800004
58,Jefferson,Washington,53,031,53031,-123.611290002000004,47.742650450200003
59,Richland,Montana,30,083,30083,-104.566244550999997,47.790172793700002
