210112001,Sam's Club,35.191520949999997,-111.629805700000010,1851 E BUTLER AVE,400523620,4005,86001,5
210112002,Walmart,35.198890509999998,-111.616052000000000,2601 E HUNTINGTON DR,400523620,4005,86001,5
210112003,Flagstaff Community Market (City Hall),35.199322500000001,-111.651529999999990,211 W Aspen Ave,400523620,4005,86001,5
210112004,Bashas Supermarket,35.207033140000000,-111.647192500000000,1000 N HUMPHREYS ST STE 112,400523620,4005,86002,5
210112005,Flagstaff Family Food Center,35.213470399999999,-111.593661500000000,"3805 E Huntington Dr, Flagstaff, AZ 86004",400523620,4005,86004,4
210112006,Fratelli Pizza East Side,35.217630100000001,-111.652447600000000,1850 N Fort Valley Rd,400523620,4005,86001,5
210112007,Flagstaff Community Market (St. Pius Catholic Church),35.218000480000001,-111.614634000000000,2257 E. Cedar Ave,400523620,4005,86001,5
210112008,Safeway,35.218041520000000,-111.621083200000000,1500 E CEDAR AVE,400523620,4005,86004,5
210112009,New Jersey Pizza Co,35.218367999999998,-111.618259300000010,2224 E Cedar Ave,400523620,4005,86004,5
210112010,Pizza Hut,35.223718300000002,-111.586837600000000,"4429 N, US-89",400523620,4005,86004,5
210112011,Safeway,35.226610000000001,-111.580549199999990,4910 N HWY 89,400523620,4005,86004,5
210112012,Papa John's,33.362050000000004,-111.834540000000000,"2075 West Obispo Avenue #, 101 # 101",401327400,4013,85233,5
210112013,McClane Phoenix,33.459330000000001,-112.224090000000000,7600 W Roosevelt St,401355000,4013,85043,5
210112014,McClane Goodyear,33.462479999999999,-112.363820000000000,14149 W McDowell Road,401328380,4013,85395,5
210112015,McDonald's/Martin Brower,33.443629999999999,-112.180400000000010,5516 W Buchanan S,401355000,4013,85043,5
210112016,US Food Service,33.438229999999997,-112.158340000000000,4650 W Buckeye Rd,401355000,4013,85043,5
210112017,Sysco,33.441789999999997,-112.231080000000010,611 S. 80th Ave,401374190,4013,85353,5
210112018,Performance,33.443390000000001,-112.219539999999990,455 S. 75th Avenue,401355000,4013,85043,5
210112019,Safeway,33.442979999999999,-112.272409999999990,400 S 99th Ave,401374190,4013,85353,5
210112020,Bashas,33.299889999999998,-111.965369999999990,200 S 56th St,401312000,4013,85226,5
210112021,Walmart/Sam's Club,33.387020000000000,-112.562130000000000,23701 W Southern Ave,401307940,4013,85326,5
210112022,Walmart/Sam's Club,NULL,NULL,868 W Peters Rd,402110530,4021,85193,5
210112023,Hank's Trading Post,35.638159000000002,-111.496106999999990,31926 North US-89 Unit #1,400523620,4005,86004,5
210112024,Materiel and Food Distribution Center - Mesa Unified School,33.411904470000003,-111.856598500000000,143 S Alma School Rd,401346000,4013,85210,5
210112025,WinCo Foods Distribution,33.430261780000002,-112.221232500000000,7502 W Durango St,401355000,4013,85043,5
210112026,Golden State Foods,33.443007690000002,-112.180432800000010,5516 W Buchanan St,401355000,4013,85043,5
210112027,Shamrock Foods Co,33.474149830000002,-112.121311000000010,2540 N 29th Ave,401355000,4013,85009,5
210112028,Shamrock Foodservice Warehouse,33.495146490000003,-112.111722200000000,2430 W Indian School Rd,401355000,4013,85015,5
210112029,Dot Foods Distribution Center,35.155683150000002,-114.550821300000000,2565 Landon Dr.,401508220,4015,86429,5
210112030,Walmart,35.174853880000001,-111.665422199999990,2750 S WOODLAND VILLAGE,400523620,4005,86001,5
