state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,19,1015,49,4025,4,42,7,7.880576783760421e-06,3.2518454185191886e-06
1,19,1031,49,4005,4,42,7,4.990602883819906e-06,2.0593250429132272e-06
1,19,1031,49,4025,4,42,7,1.2669586167515405e-05,5.227984811755065e-06
1,19,1039,49,4025,4,42,7,1.0931720660441625e-06,4.5108710595198184e-07
1,19,1055,49,4025,4,42,7,4.735658433743653e-05,1.9541246286915468e-05
1,19,1061,49,4005,4,42,7,4.624772581995878e-07,1.9083686315254935e-07
1,19,1061,49,4025,4,42,7,1.1740856985982125e-06,4.844753505610365e-07
1,19,1069,49,4005,4,42,7,1.6406519195069684e-05,6.769994854726412e-06
1,19,1069,49,4025,4,42,7,4.165104166569706e-05,1.718690810757113e-05
1,19,1081,49,4005,4,42,7,4.4497925670038397e-07,1.8361647845612926e-07
1,19,1081,49,4025,4,42,7,1.1296637233550556e-06,4.6614504294018994e-07
1,19,1083,49,4015,4,42,7,8.156996067513343e-07,3.365907219593776e-07
1,19,1089,49,4015,4,42,7,8.629707150108009e-07,3.5609669735176765e-07
1,19,1089,49,4025,4,42,7,2.5765281396754447e-06,1.0631799494619424e-06
1,19,1101,49,4025,4,42,7,8.488424219474234e-05,3.502667909463995e-05
1,19,1103,49,4015,4,42,7,2.450109480992909e-05,1.0110144865355116e-05
1,19,1103,49,4025,4,42,7,7.315168305548836e-05,3.018534961694109e-05
1,19,1109,49,4005,4,42,7,2.73041179239688e-06,1.12667858221664e-06
1,19,1109,49,4025,4,42,7,6.931665027631723e-06,2.860285963999961e-06
1,19,1125,49,4015,4,42,7,6.889049639681688e-06,2.8427011275258968e-06
4,41,4013,49,4001,4,42,2,0.02551650318240469,0.007271659103915274
4,41,4013,49,4001,4,42,3,0.0517130415254899,0.16693563712942294
4,41,4013,49,4001,4,42,4,0.09572429136679428,0.10244659570162272
4,41,4013,49,4001,4,42,5,0.015541072729353119,0.05185693915761739
4,41,4013,49,4001,4,42,6,0.7039515062646493,3.759186118664643
4,41,4013,49,4001,4,42,7,4.928199717053244,6.3852037732749665
