state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,19,1015,49,4025,4,3133,7,0.0005867646768054861,0.00024212289003398659
1,19,1031,49,4005,4,3133,7,0.0012016129652790814,0.0004958342166055886
1,19,1031,49,4025,4,3133,7,9.73834210519578e-05,4.018434694274041e-05
1,19,1039,49,4025,4,3133,7,8.139439175911579e-05,3.3586625344539396e-05
1,19,1055,49,4025,4,3133,7,0.003526032632615036,0.0014549839912158056
1,19,1061,49,4005,4,3133,7,0.00011135301336057979,4.594876698379438e-05
1,19,1061,49,4025,4,3133,7,9.024484337999015e-06,3.7238680434526475e-06
1,19,1069,49,4005,4,3133,7,0.0039502814867942646,0.0016300462652891555
1,19,1069,49,4025,4,3133,7,0.0003201462837186457,0.00013210533372528735
1,19,1081,49,4005,4,3133,7,0.00010713993010042216,4.4210278054200316e-05
1,19,1081,49,4025,4,3133,7,8.683039569253869e-06,3.582974091475769e-06
1,19,1083,49,4015,4,3133,7,1.999066770240339e-06,8.248959811566029e-07
1,19,1089,49,4015,4,3133,7,2.3532741460547005e-06,9.71056302139861e-07
1,19,1089,49,4025,4,3133,7,0.00012990889046803436,5.360567403694638e-05
1,19,1101,49,4025,4,3133,7,0.006320232173857438,0.002607983984229231
1,19,1103,49,4015,4,3133,7,6.681315131941583e-05,2.7569814491572986e-05
1,19,1103,49,4025,4,3133,7,0.0036883175600810093,0.0015219493304740224
1,19,1109,49,4005,4,3133,7,0.0006574152034681072,0.00027127616113937684
1,19,1109,49,4025,4,3133,7,5.327950298074879e-05,2.198528260342049e-05
1,19,1125,49,4015,4,3133,7,9.732261082980647e-06,4.0159254180151065e-06
4,41,4013,49,4001,4,3133,2,0.0005505239812690042,0.00015688759120720434
4,41,4013,49,4001,4,3133,3,0.000810204658244682,0.0026618871011468573
4,41,4013,49,4001,4,3133,4,0.007764573583720729,0.014149911703251267
4,41,4013,49,4001,4,3133,5,0.00026690711045844993,0.0008985327421452922
4,41,4013,49,4001,4,3133,6,0.00048580944041236014,0.002197078324626783
4,41,4013,49,4001,4,3133,7,0.0031904608383061706,0.0044260755256431885
4,41,4013,49,4001,4,3133,43,0.008444643672806194,0.02241781624391734
4,41,4013,49,4005,4,3133,2,1.9212875087389745,0.5415823501242969
4,41,4013,49,4005,4,3133,3,5.195143769620596,16.043859792023582
4,41,4013,49,4005,4,3133,4,2.2918727100449416,1.2123347969707134
