state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,11,1009,486,48,42,7,0.04520771611940027,0.021376964004800495
1,11,1043,486,48,42,6,3.594105055022957e-05,0.0003937083658777433
1,11,1043,486,48,42,7,0.25240610289905774,0.12154046173104872
1,11,1073,486,48,42,6,0.0001808922341655306,0.001981544357301215
1,11,1073,486,48,42,7,11.918830098538646,5.649311046628301
1,11,1117,486,48,42,6,2.448577010569592e-05,0.00026822400536397403
1,11,1117,486,48,42,7,2.38041991600305,1.126995250437333
1,11,1121,486,48,42,6,2.7551811965616218e-05,0.00030181028934571114
1,11,1121,486,48,42,7,0.10718215280352311,0.05224297074588935
1,11,1127,486,48,42,7,0.2903968774433927,0.1374722724727706
1,12,1003,486,48,42,3,0.3684395987684898,0.2867416718143827
1,12,1097,486,48,42,3,0.6649084603268488,0.525341335029133
1,19,1015,486,48,42,5,0.0035882019391461815,0.007067806113634589
1,19,1015,486,48,42,7,1.882719036488397e-06,2.0514832489157915e-05
1,19,1031,486,48,42,5,0.00873440938247102,0.020396626498562973
1,19,1031,486,48,42,7,3.7674201686856867e-06,4.1051262657341396e-05
1,19,1039,486,48,42,5,0.0004738556784528644,0.001124878938554985
1,19,1039,486,48,42,7,1.9315721168909324e-07,2.1047154488146497e-06
1,19,1053,486,48,42,5,6.848010844483461e-06,3.015904545585295e-05
1,19,1055,486,48,42,5,0.021562506452712373,0.04247241864208724
1,19,1055,486,48,42,7,1.131378391222469e-05,0.00012327935144838565
1,19,1061,486,48,42,5,0.0008259387203695881,0.0019231777405238643
1,19,1061,486,48,42,7,3.6268322065990875e-07,3.951936201985802e-06
1,19,1069,486,48,42,5,0.02514081018705225,0.04925090006822216
1,19,1069,486,48,42,7,1.4388475704577321e-05,0.00015678237864120162
1,19,1081,486,48,42,5,0.0007153773001605802,0.0014040899226015816
1,19,1081,486,48,42,7,3.8788593115316735e-07,4.226554652228008e-06
1,19,1083,486,48,42,5,0.000283476708416467,0.0005555811635196227
1,19,1083,486,48,42,7,1.6101394949964437e-07,1.7544700714154017e-06
1,19,1085,486,48,42,5,0.0019163063802777273,0.0038588107250093397
1,19,1085,486,48,42,7,8.387397906469695e-07,9.139232128447225e-06
1,19,1089,486,48,42,5,0.0014282451302818713,0.002810687059156518
1,19,1089,486,48,42,7,7.461071451913204e-07,8.129871109771445e-06
1,19,1095,486,48,42,5,0.0008896432501279016,0.0009063997877281083
1,19,1095,486,48,42,7,5.02895993293778e-05,0.0005479748630540877
1,19,1101,486,48,42,5,0.043224526682360195,0.10079899499543472
1,19,1101,486,48,42,7,1.8141973046685864e-05,0.00019768193281232164
1,19,1103,486,48,42,5,0.03794140374853529,0.07423893693797205
1,19,1103,486,48,42,7,2.180083341877558e-05,0.00023755028607157396
1,19,1105,486,48,42,5,0.00044585349113343786,0.0017889875691703663
1,19,1109,486,48,42,5,0.004893797512244014,0.011413837982336866
1,19,1109,486,48,42,7,2.0809204296540858e-06,2.267451128408621e-05
1,19,1125,486,48,42,5,0.0068758390838843525,0.016900180602154605
4,41,4013,486,48,42,5,0.020321379989914293,0.4008901846728738
4,41,4013,486,48,42,7,0.03034607501961702,0.14809068678723253
4,41,4021,486,48,42,5,0.003824064917006365,0.07595699297087391
4,41,4021,486,48,42,7,0.00431579914542637,0.021225470801931556
4,42,4019,486,48,42,3,3.8695901869430998,2.2546825647610333
4,42,4019,486,48,42,5,0.005186997410827527,0.0474866532271639
4,42,4019,486,48,42,7,0.004485420009290291,0.6663736757848315
4,42,4023,486,48,42,3,9.135852413444438,5.323948228546463
4,42,4023,486,48,42,5,0.011948736285817482,0.10938997103083613
4,42,4023,486,48,42,7,8.775938920205199e-05,9.56028237474238e-05
4,49,4003,486,48,42,6,2.513314627069531e-05,0.00012627436806731296
4,49,4005,486,48,42,6,0.0019245229364519795,0.008366208472327061
4,49,4017,486,48,42,6,3.251577580056112e-05,0.0001412699446512216
4,49,4025,486,48,42,6,8.91222175203261e-05,0.0003890627172973578
4,49,4027,486,48,42,3,0.0015949209486166007,0.01031905138339921
5,50,5001,486,48,42,4,0.005682175666850483,0.05047816372826434
5,50,5001,486,48,42,5,0.012124559546393522,0.04188019751275828
5,50,5001,486,48,42,6,0.0007780483380843252,0.0006364286491895695
5,50,5001,486,48,42,7,0.00101693551786374,0.001304735526653966
5,50,5007,486,48,42,4,0.002822866289993566,0.02507720899946665
5,50,5007,486,48,42,5,0.04515491205359353,0.15627354799677404
5,50,5007,486,48,42,6,0.0021447980879371275,0.0017544037858252671
5,50,5007,486,48,42,7,0.005440940147754728,0.006937848599071299
5,50,5007,486,48,42,43,0.00047098628840792255,0.0030613857893497685
5,50,5009,486,48,42,5,0.00012390231465427118,0.0004336712997980508
5,50,5009,486,48,42,43,1.8913838596027823e-06,1.2294093540038113e-05
5,50,5023,486,48,42,4,0.0004933869053319279,0.004383050868001622
5,50,5031,486,48,42,4,0.012514385218862516,0.11117276604481566
5,50,5031,486,48,42,5,0.006206194058741738,0.02750535077162531
5,50,5031,486,48,42,6,0.0012329550941629457,0.0010085336690282564
5,50,5031,486,48,42,43,0.00025247775006843144,0.0016410919115425152
5,50,5033,486,48,42,5,0.021681478701877505,0.07708152227584826
5,50,5033,486,48,42,6,0.0013112027427518986,0.0010725387479624785
5,50,5033,486,48,42,7,0.005698276105509202,0.024083937887550057
5,50,5035,486,48,42,5,0.0010005332148826627,0.003115247835142505
5,50,5035,486,48,42,6,7.681088579594546e-05,6.282983446829202e-05
5,50,5035,486,48,42,7,0.00012109523783064128,0.00015536605431792894
5,50,5035,486,48,42,43,1.7816601607539963e-05,0.00011580697546486257
5,50,5037,486,48,42,4,0.003076233715852352,0.027328023327598407
5,50,5041,486,48,42,4,0.0012793130758212527,0.01136490293282478
5,50,5041,486,48,42,5,0.0007560540523408768,0.0026921068085733533
5,50,5041,486,48,42,6,3.4111926089193246e-05,2.7902902659817475e-05
5,50,5041,486,48,42,7,0.00018627331089612315,0.0007575757517476857
5,50,5045,486,48,42,4,0.0004972507464396369,0.004417375678688625
5,50,5045,486,48,42,5,9.147963433844102e-05,0.00032455608256270655
