state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,11,1009,486,48,3133,7,0.03457198932225435,0.016353880160628713
1,11,1043,486,48,3133,6,0.0012584995337722802,0.013785957486326772
1,11,1043,486,48,3133,7,0.2742415180761203,0.23957391172538267
1,11,1073,486,48,3133,6,0.01038513645977556,0.11376170263252063
1,11,1073,486,48,3133,7,9.708571401940548,5.187763586246407
1,11,1117,486,48,3133,6,0.0010043399735954386,0.01100182225439791
1,11,1117,486,48,3133,7,1.7573109144268655,0.9083112486724443
1,11,1121,486,48,3133,6,0.0009566402100805986,0.010479305642927783
1,11,1121,486,48,3133,7,0.1080595658973948,0.13634731204812148
1,11,1127,486,48,3133,7,0.21940255697504843,0.10360573861016184
1,12,1003,486,48,3133,3,0.4062002855114214,0.3225065802680128
1,12,1097,486,48,3133,3,1.0295571322689205,0.8068478047374082
1,19,1015,486,48,3133,5,0.1319395131796476,0.24975712015002807
1,19,1015,486,48,3133,7,0.0001024566491425245,0.0011164071504156524
1,19,1031,486,48,3133,5,0.4394965679125353,1.0214346681303041
1,19,1031,486,48,3133,7,0.0001813231135608927,0.001975766553065921
1,19,1039,486,48,3133,5,0.02426848792238163,0.061657019164839684
1,19,1039,486,48,3133,7,6.879679457217076e-06,7.496363977237502e-05
1,19,1053,486,48,3133,5,0.0005193066858484824,0.002287057409765839
1,19,1055,486,48,3133,5,0.7928613418510222,1.5008602097036103
1,19,1055,486,48,3133,7,0.0006156905870199325,0.006708802010853337
1,19,1061,486,48,3133,5,0.03791442296190981,0.0883529828765157
1,19,1061,486,48,3133,7,1.6361900925003008e-05,0.00017828558068159908
1,19,1069,486,48,3133,5,1.3191794006480488,2.5920595863871037
1,19,1069,486,48,3133,7,0.0006264110484416198,0.006825616291693989
1,19,1081,486,48,3133,5,0.027366291593168657,0.053298205088782274
1,19,1081,486,48,3133,7,1.8557311873352663e-05,0.00020220762479831515
1,19,1083,486,48,3133,5,0.016150667459671846,0.0317563558003324
1,19,1083,486,48,3133,7,7.942221738889565e-06,8.654151012833401e-05
1,19,1085,486,48,3133,5,0.13306799139164285,0.2679551650102544
1,19,1085,486,48,3133,7,5.8241949403447617e-05,0.0006346267354274463
1,19,1089,486,48,3133,5,0.049305139930492625,0.09363154043323023
1,19,1089,486,48,3133,7,4.2834478506882836e-05,0.00046674099230873306
1,19,1095,486,48,3133,5,0.03453628278623718,0.0351867778256766
1,19,1095,486,48,3133,7,0.003688331583468397,0.04018948294082914
1,19,1101,486,48,3133,5,1.9997822556871898,4.468157177078931
1,19,1101,486,48,3133,7,0.0008766003061369967,0.009551774902051809
1,19,1103,486,48,3133,5,2.1065450866097675,4.180586328275487
1,19,1103,486,48,3133,7,0.000953689041035394,0.010391763478462776
1,19,1105,486,48,3133,5,0.02232784280293456,0.09211521225953477
1,19,1109,486,48,3133,5,0.23519810716680542,0.523047361548675
1,19,1109,486,48,3133,7,0.00010675527653691513,0.0011632466518070607
1,19,1125,486,48,3133,5,0.23413374826294642,0.6257354884879799
4,41,4013,486,48,3133,5,1.2410659213554953,24.48313779134806
4,41,4013,486,48,3133,7,1.2186313641742803,5.9469949752766675
4,41,4021,486,48,3133,5,0.18779560006507814,3.576071236037516
4,41,4021,486,48,3133,7,0.3083884769281454,1.5146051122497728
4,42,4019,486,48,3133,3,2.213266641983519,1.2889523455972578
4,42,4019,486,48,3133,5,0.003041355624715983,0.027843430110432842
4,42,4019,486,48,3133,7,0.022695900465553344,0.10629103805827458
4,42,4023,486,48,3133,3,5.921876790180309,3.444241222930792
4,42,4023,486,48,3133,5,0.008526995871158344,0.07806414076049335
4,42,4023,486,48,3133,7,0.003517275131926485,0.0038269944013544334
4,49,4003,486,48,3133,6,0.001755716524274038,0.008821099921999935
4,49,4005,486,48,3133,6,0.08477728022133096,0.36369109358824075
4,49,4017,486,48,3133,6,0.0021239662686645374,0.009127689972851459
4,49,4025,486,48,3133,6,0.0034743284368795087,0.015098250897184936
4,49,4027,486,48,3133,3,0.002225294466403162,0.014397533596837946
5,50,5001,486,48,3133,4,0.0069417246063356725,0.06166749002136294
5,50,5001,486,48,3133,5,0.8952989602380468,3.089087407815152
5,50,5001,486,48,3133,6,0.054281464904235965,0.04440119937803886
5,50,5001,486,48,3133,7,0.0771174908300343,0.09894229107438757
5,50,5007,486,48,3133,4,0.0034724391885020845,0.030847753425899477
5,50,5007,486,48,3133,5,0.5347537947011667,1.8705314549488743
5,50,5007,486,48,3133,6,0.09348497163459049,0.0764689175526256
5,50,5007,486,48,3133,7,0.0028363606261003677,0.00362498943994558
5,50,5007,486,48,3133,43,0.033552123617375515,0.2180870174397423
5,50,5009,486,48,3133,5,0.009395910995657716,0.03288668937011833
5,50,5009,486,48,3133,43,0.00013544569919648276,0.0008804068236243246
5,50,5023,486,48,3133,4,0.0010399499549051854,0.00923849721844342
5,50,5031,486,48,3133,4,0.0005735759891978652,0.005095418443720719
5,50,5031,486,48,3133,5,0.16626458229502505,0.5819437491176674
5,50,5031,486,48,3133,6,0.000404549832972184,0.0003309140205379484
5,50,5031,486,48,3133,43,0.010946571737080251,0.07115213254226666
5,50,5033,486,48,3133,5,1.284043220606426,4.361693536222561
5,50,5033,486,48,3133,6,0.06938382486850349,0.05675464077899165
5,50,5033,486,48,3133,7,0.16849678019113093,0.2263579797945413
5,50,5035,486,48,3133,5,0.01312941896076487,0.04608716229069901
5,50,5035,486,48,3133,6,0.003330257305153034,0.00272408673655252
5,50,5035,486,48,3133,43,0.000874090536084212,0.005681538738287669
5,50,5037,486,48,3133,4,0.002230696698675712,0.01981661247130435
5,50,5041,486,48,3133,4,0.001667371375487033,0.0148122568224483
5,50,5041,486,48,3133,5,0.0448844679524699,0.15221718088478295
5,50,5041,486,48,3133,6,0.0012149643034797505,0.0009938175465819966
5,50,5041,486,48,3133,7,0.01037537685233863,0.038277229265136443
5,50,5045,486,48,3133,4,0.0007893395182371419,0.007012174873651645
5,50,5045,486,48,3133,5,0.004047168185221135,0.013695926677529002
5,50,5045,486,48,3133,6,0.00026507517246254075,0.00021682641769969703
5,50,5045,486,48,3133,7,0.000709591708020737,0.0021961817655114023
5,50,5045,486,48,3133,43,4.4363992525518196e-05,0.0002883642187996351
5,50,5047,486,48,3133,7,0.0002599520716213027,0.0001165624175549067
5,50,5051,486,48,3133,4,0.00019217916338468708,0.001707242409115818
5,50,5051,486,48,3133,5,0.02808634441148921,0.09976707583530055
5,50,5051,486,48,3133,7,0.04051141813260811,0.03186239002308667
5,50,5063,486,48,3133,5,0.1356209234047059,0.4732064606896888
5,50,5063,486,48,3133,6,0.024695636208538114,0.020200557759399156
5,50,5063,486,48,3133,7,0.0006521035907493793,0.0008366535605882303
5,50,5063,486,48,3133,43,0.00832625039766185,0.05412020890502075
5,50,5067,486,48,3133,4,0.0008622639202253095,0.007660005936816373
5,50,5069,486,48,3133,4,0.002780509835057768,0.024700931286042296
5,50,5077,486,48,3133,4,0.0018134354425188954,0.016109831259202248
5,50,5085,486,48,3133,4,0.003339639799199877,0.029668017052151288
5,50,5085,486,48,3133,7,3.661566285538007e-05,1.6418450355787586e-05
5,50,5093,486,48,3133,4,0.0004029952168927448,0.003580047455888458
5,50,5095,486,48,3133,4,0.004205090730837492,0.03735633511680502
5,50,5107,486,48,3133,4,0.002808866414210251,0.02495283973258736
5,50,5111,486,48,3133,4,0.0007973220183300247,0.007083088194582605
5,50,5111,486,48,3133,5,0.010081549740132164,0.03509576189787619
5,50,5111,486,48,3133,43,0.0006588656965805165,0.004282591892386739
5,50,5115,486,48,3133,4,0.0008924787731971274,0.007928422540730036
5,50,5115,486,48,3133,5,0.9085808772143866,3.0729617262469047
5,50,5115,486,48,3133,6,0.05970984164006813,0.048841507652180226
5,50,5115,486,48,3133,7,0.09922808220834892,0.1354111941310016
5,50,5115,486,48,3133,43,0.009096798115198,0.059128702643066064
5,50,5119,486,48,3133,4,0.011387455606280196,0.10116157652351561
5,50,5119,486,48,3133,5,0.754856387643039,2.6309003709187904
5,50,5119,486,48,3133,6,0.0372096225395588,0.030436759068224593
5,50,5119,486,48,3133,7,0.15094095604092905,0.47883054939659986
5,50,5123,486,48,3133,4,0.0035977633253698274,0.03196108266294149
5,50,5125,486,48,3133,4,0.0005503665330033775,0.004889234967791911
5,50,5125,486,48,3133,5,0.004438646275013711,0.015014507797157775
5,50,5125,486,48,3133,6,5.157862592107202e-06,4.219032882047525e-06
5,50,5125,486,48,3133,7,0.0012096045028103736,0.00443931515453727
5,50,5131,486,48,3133,4,0.0024741024847324336,0.02197893159717332
5,50,5131,486,48,3133,5,1.5716060142297423,5.384357480342364
5,50,5131,486,48,3133,6,0.06458228640651621,0.052827074215559024
5,50,5131,486,48,3133,7,0.34865217128306014,1.1684077836820816
5,50,5143,486,48,3133,4,0.009921380041900423,0.08813755074259687
5,50,5143,486,48,3133,5,1.8766840321699638,6.528595039360156
5,50,5143,486,48,3133,6,0.1375739709986579,0.11253287519628563
5,50,5143,486,48,3133,7,0.10683234188734139,0.15726453687109987
5,50,5143,486,48,3133,43,0.03222125248284786,0.20943638761922942
5,50,5145,486,48,3133,4,0.0015066933550357475,0.01338485790002656
5,50,5145,486,48,3133,5,0.1890667803631569,0.6133568395576271
5,50,5145,486,48,3133,6,0.018599954234091463,0.015214406571880223
5,50,5145,486,48,3133,7,0.020989310384184834,0.028408319541585667
5,50,5145,486,48,3133,43,0.004547736696711362,0.029560046011085157
5,50,5149,486,48,3133,5,0.6833139812649913,2.3423372139211245
5,50,5149,486,48,3133,6,0.03175227967757253,0.025972757057282914
5,50,5149,486,48,3133,7,0.15366857395830652,0.5013773186209414
6,61,6037,486,48,3133,1,0.08397430874544218,0.3978357322124496
6,61,6037,486,48,3133,3,6.4191989327632015,18.323134894409595
6,61,6037,486,48,3133,4,0.006066970354344796,0.06765717974465887
6,61,6037,486,48,3133,5,3.5011065427734405,27.054195788291363
6,61,6037,486,48,3133,6,4.544714256766464,9.617303192784727
6,61,6037,486,48,3133,7,4.798683221030851,12.907009611553875
6,61,6037,486,48,3133,43,2.8550906164119407,4.222035489045246
6,61,6059,486,48,3133,1,0.018811587909443594,0.08912156541495266
6,61,6059,486,48,3133,3,1.4473039530175522,4.615642910481304
6,61,6059,486,48,3133,4,0.001503835733203939,0.01677036124545358
6,61,6059,486,48,3133,5,0.6676605365519074,5.3733249309849
6,61,6059,486,48,3133,6,0.7919940643167688,1.717007026751809
6,61,6059,486,48,3133,7,1.1679030901386485,3.07299551852936
6,61,6059,486,48,3133,43,0.6692097470884716,0.9567644125255416
6,61,6065,486,48,3133,3,0.5840144312173049,2.1477285045036507
6,61,6065,486,48,3133,4,0.0008902349450304228,0.009927654524925474
